number,enumerator,start,today,agree_to_participate,hh_sex,Femaleheadhh,ageyear,who_is_respondent,headhousemarital,livelihoods_bene,shelterbeneficaries,HighestLevel,hh_sex.1,electricity_connectionR,mosquito_netsR,income_preR,income_postR,incomechange,WorkPaidLastMonthR,WorkUnPaidLastMonthR,farmlandtotal,post_yolanda_main_income_sourceR,TotalNumberIncomeSourcesEmploy,NumberSourcesAll,ChangeIncome,hh_debt,hh_bank_accountR,savings_yeswithoutR,AssetChange,have_a_houseR,currently_living_in,material_construction,why_move_to_location,LocationNoBuildR,land_ownershipr,proof_ownership,house_ownershipr,agreement_land,DamageIndex,damage_posts,damage_roof,damage_walls,damage_others,damage_toilets,shelterbeneficaries.1,totalhectares,hectares1R,agreement_house,occupy_land_yearCat,TotalHouseholdMembers,income_postR.1,AttenWalk,AttenSee,AttenHear,AttenRC,AttenSC,AttenCom,singleHHR,U18HHR,ChildU5R,FiveHHR,attentionR,Over60R,IncomeR,More7R,More10R,VulnerableIndex,water_table,sanitation_ownership,in_or_out,type_of_toilet,septic_tank,ServiceWaterCat,service_water,drinking_water,DrinkWaterCat,handwashing_access,GPS_latitude,GPS_longitude,municipalityname,Mun_Code,barangayname,Bar_Code,GPS_altitude,GPS_precision,toilet_access,sanitation_ownership.1,toilet_access.1
1081,pono,2014-10-18T14:39:00.000+08,10/18/14,yes,male,no,42,head,living_together,#N/A,SRA,Elementary,male,Yes,1,"2,500 - 5,000","<2,500",Less than,Yes,No,#N/A,agri_labor,2,2,No Change,yes,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,9,under_standard,under_standard,under_standard,under_standard,lightly_damaged,SRA,0,No,#N/A,2014,10,"<2,500",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,3,high,own_toilet,out,flush_toilet,no,0 to 5,well,well,0 to 5,without,11.22518916,124.8423819,Alang Alang,PH083702000,Hubang,PH083702024,116.4000015,5,yes,own_toilet,yes
1082,calucer,2014-10-18T15:09:00.000+08,10/18/14,yes,male,no,21,head,living_together,Yes,Core,High School,male,Yes,1,"<2,500","<2,500",Equals,No,No,#N/A,farming,1,1,Change,yes,No,No,Equal Assets,Yes,new_house,light,#N/A,No,Owned by family member,#N/A,owned,yes_oral,10,under_standard,under_standard,under_standard,under_standard,under_standard,Core,0,No,#N/A,2012 or before,3,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,high,#N/A,#N/A,#N/A,#N/A,0 to 5,handpumped,handpumped,0 to 5,without,11.23287613,124.8411048,Alang Alang,PH083702000,Hubang,PH083702024,114.0999985,5,without,#N/A,without
1083,cuevas,2014-10-18T13:23:00.000+08,10/18/14,yes,male,no,26,head,single,#N/A,SRA,High School,male,No,1,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,yes,No,No,Equal Assets,Yes,repaired_house,concrete_wood,#N/A,No,owned,yes,owned,#N/A,3,to_standard,under_standard,to_standard,significantly_damaged,lightly_damaged,SRA,0.012,No,#N/A,2012 or before,1,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,own_toilet,in,flush_toilet,yes,0 to 5,handpumped,handpumped,0 to 5,yes,11.16762113,124.8522128,Alang Alang,PH083702000,Penalosa,PH083702033,111.0999985,5,yes,own_toilet,yes
1084,prudencio,2014-10-18T15:04:00.000+08,10/18/14,yes,male,no,68,head,married,#N/A,Core,High School,male,Yes,2,"2,500 - 5,000","<2,500",Less than,Yes,No,0.4,farming,2,2,No Change,yes,No,No,Equal Assets,Yes,new_house,light,#N/A,No,Owned by family member,#N/A,owned,yes_oral,10,under_standard,under_standard,under_standard,under_standard,under_standard,Core,0,No,#N/A,#N/A,3,"<2,500",No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,high,own_toilet,out,flush_toilet,no,0 to 5,well,handpumped,6 to 20,yes,11.1629538,124.8673388,Alang Alang,PH083702000,Hubang,PH083702024,108.8000031,5,yes,own_toilet,yes
1085,prudencio,2014-10-18T15:30:00.000+08,10/18/14,yes,male,no,32,spouse,living_together,#N/A,SRA,Graduate,male,Yes,1,"5,001 - 10,000","5,001 - 10,000",Equals,No,No,#N/A,remittance,0,1,No Change,yes,No,No,Equal Assets,Yes,new_house,concrete_wood,#N/A,No,Owned by family member,#N/A,owned,yes_oral,6,to_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2014,4,"5,001 - 10,000",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,high,shared_toilet,out,flush_toilet,yes,0 to 5,handpumped,others,0 to 5,yes,11.15390905,124.8585987,Alang Alang,PH083702000,Astorga,PH083702002,111.5999985,5,yes,shared_toilet,yes
1086,guillermo,2014-10-18T14:14:00.000+08,10/18/14,yes,female,yes,39,head,single,#N/A,SRA,Elementary,female,No,3,"<2,500","<2,500",Equals,Yes,No,0.3,farming,2,2,No Change,yes,No,Yes,Less Assets,Yes,new_house,wood,#N/A,No,rented,#N/A,owned,yes_oral,8,under_standard,under_standard,under_standard,under_standard,to_standard,SRA,0,No,#N/A,#N/A,3,"<2,500",No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2,dontknow,own_toilet,out,flush_toilet,no,More than 20,handpumped,handpumped,6 to 20,yes,11.22668049,124.8509032,Alang Alang,PH083702000,Hubang,PH083702024,112.6999969,5,yes,own_toilet,yes
1087,pono,2014-10-18T15:14:00.000+08,10/18/14,yes,male,no,33,spouse,married,#N/A,SRA,High School,male,Yes,2,"2,500 - 5,000","<2,500",Less than,Yes,No,#N/A,driver,2,2,No Change,yes,No,No,Equal Assets,Yes,repaired_house,wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,8,under_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2012 or before,5,"<2,500",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,3,high,shared_toilet,out,flush_toilet,yes,0 to 5,handpumped,handpumped,0 to 5,without,11.16653551,124.8548487,Alang Alang,PH083702000,Penalosa,PH083702033,143.1000061,5,yes,shared_toilet,yes
1088,soledad,2014-10-18T10:40:00.000+08,10/18/14,yes,male,no,51,head,married,#N/A,SRA,Graduate,male,Yes,3,"10,001 - 15,000","5,001 - 10,000",Less than,Yes,No,0.5,govt_employ,2,2,No Change,yes,Yes,No,Equal Assets,Yes,repaired_house,concrete_wood,#N/A,No,rented,#N/A,owned,yes_oral,6,to_standard,to_standard,under_standard,under_standard,under_standard,SRA,0,No,#N/A,2012 or before,7,"5,001 - 10,000",No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,2,high,own_toilet,out,flush_toilet,yes,6 to 20,handpumped,handpumped,More than 20,yes,11.15416205,124.8579432,Alang Alang,PH083702000,Astorga,PH083702002,103.3000031,5,yes,own_toilet,yes
1089,cuevas,2014-10-18T13:40:00.000+08,10/18/14,yes,male,no,60,head,married,Yes,SRA,Graduate,male,Yes,1,"5,001 - 10,000","5,001 - 10,000",Equals,Yes,No,6.5,govt_employ,2,2,Change,yes,Yes,No,Less Assets,Yes,repaired_house,concrete_wood,#N/A,No,owned,yes,owned,#N/A,2,to_standard,lightly_damaged,lightly_damaged,significantly_damaged,to_standard,SRA,6.56,Yes,#N/A,2012 or before,9,"5,001 - 10,000",No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,2,high,own_toilet,in,flush_toilet,yes,6 to 20,handpumped,handpumped,6 to 20,yes,11.16849342,124.8851949,Alang Alang,PH083702000,Aslum,PH083702001,121,5,yes,own_toilet,yes
1090,besario,2014-10-18T10:36:00.000+08,10/18/14,yes,male,no,53,spouse,married,#N/A,Core,Elementary,male,Yes,2,"5,001 - 10,000","2,500 - 5,000",Less than,Yes,No,#N/A,construction_labor,1,1,No Change,yes,No,No,Equal Assets,Yes,new_house,light,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,yes_oral,9,under_standard,under_standard,under_standard,under_standard,lightly_damaged,Core,0,No,#N/A,2012 or before,4,"2,500 - 5,000",No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,2,low,own_toilet,out,flush_toilet,no,0 to 5,handpumped,handpumped,0 to 5,without,11.17058969,124.8535141,Alang Alang,PH083702000,Penalosa,PH083702033,106.1999969,5,yes,own_toilet,yes
1091,guillermo,2014-10-18T14:42:00.000+08,10/18/14,yes,male,no,26,head,single,Yes,SRA,Primary,male,No,1,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,yes,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,rented,#N/A,owned,yes_oral,8,under_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2012 or before,1,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,#N/A,#N/A,#N/A,#N/A,More than 20,handpumped,handpumped,6 to 20,without,11.22206385,124.8461858,Alang Alang,PH083702000,Hubang,PH083702024,110.5,5,without,#N/A,without
1092,soledad,2014-10-18T13:00:00.000+08,10/18/14,yes,male,no,45,head,single,Yes,Core,Elementary,male,No,2,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,no,No,No,Equal Assets,Yes,new_house,light,#N/A,No,rented,#N/A,owned,yes_oral,8,under_standard,under_standard,under_standard,under_standard,no_toilet,Core,0,No,#N/A,2012 or before,1,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,shared_toilet,out,flush_toilet,yes,0 to 5,well,handpumped,0 to 5,without,11.16894649,124.8870936,Alang Alang,PH083702000,Aslum,PH083702001,107.5999985,5,yes,shared_toilet,yes
1093,cuevas,2014-10-18T14:31:00.000+08,10/18/14,yes,male,no,21,head,single,#N/A,SRA,Elementary,male,No,1,"<2,500","<2,500",Equals,No,No,#N/A,agri_labor,1,1,No Change,no,No,No,Less Assets,Yes,new_house,wood,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,yes_oral,8,under_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2013,1,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,shared_toilet,out,flush_toilet,no,6 to 20,handpumped,handpumped,6 to 20,without,11.16883103,124.8853909,Alang Alang,PH083702000,Aslum,PH083702001,96.30000305,5,yes,shared_toilet,yes
1094,guillermo,2014-10-18T15:05:00.000+08,10/18/14,yes,male,no,59,head,married,#N/A,Neither,High School,male,Yes,3,"2,500 - 5,000","5,001 - 10,000",Greater,Yes,No,1.2,farming,1,1,No Change,yes,Yes,No,Less Assets,Yes,new_house,concrete,#N/A,No,owned,yes,owned,#N/A,0,to_standard,to_standard,to_standard,to_standard,to_standard,Neither,0.025,No,#N/A,2012 or before,3,"5,001 - 10,000",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,own_toilet,in,flush_toilet,yes,0 to 5,handpumped,piped,0 to 5,yes,11.17074288,124.8532472,Alang Alang,PH083702000,Penalosa,PH083702033,110.5999985,5,yes,own_toilet,yes
1095,besario,2014-10-18T12:56:00.000+08,10/18/14,yes,male,no,60,head,married,#N/A,Core,Graduate,male,Yes,4,"<2,500","<2,500",Equals,Yes,No,0.5,farming,1,1,No Change,yes,No,No,Equal Assets,Yes,new_house,light,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,9,under_standard,under_standard,under_standard,under_standard,lightly_damaged,Core,0,No,#N/A,#N/A,5,"<2,500",No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,2,low,own_toilet,out,flush_toilet,yes,0 to 5,handpumped,handpumped,0 to 5,without,11.16884146,124.8865014,Alang Alang,PH083702000,Aslum,PH083702001,109.1999969,5,yes,own_toilet,yes
1096,soledad,2014-10-18T13:20:00.000+08,10/18/14,yes,male,no,27,head,living_together,#N/A,SRA,High School,male,No,2,"2,500 - 5,000","<2,500",Less than,Yes,No,#N/A,agri_labor,2,2,No Change,yes,No,No,Less Assets,Yes,new_house,wood,#N/A,No,rented,#N/A,owned,yes_oral,6,to_standard,under_standard,under_standard,under_standard,significantly_damaged,SRA,0,No,#N/A,2012 or before,3,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,high,own_toilet,out,flush_toilet,yes,0 to 5,well,well,0 to 5,yes,11.19740903,124.8103702,Alang Alang,PH083702000,Santiago,PH083702043,108.5,5,yes,own_toilet,yes
1097,besario,2014-10-18T13:36:00.000+08,10/18/14,yes,male,no,44,spouse,married,#N/A,Core,High School,male,No,2,"2,500 - 5,000","<2,500",Less than,Yes,No,#N/A,farming,1,1,No Change,yes,No,No,Equal Assets,Yes,new_house,light,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,yes_oral,8,under_standard,under_standard,under_standard,under_standard,no_toilet,Core,0,No,#N/A,#N/A,5,"<2,500",No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,2,low,#N/A,#N/A,#N/A,#N/A,0 to 5,well,well,0 to 5,without,11.17123374,124.8526333,Alang Alang,PH083702000,Penalosa,PH083702033,107.5,5,without,#N/A,without
1098,balberia,2014-10-18T10:44:00.000+08,10/18/14,yes,male,no,67,spouse,married,#N/A,SRA,Elementary,male,No,2,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,Change,yes,No,No,Equal Assets,Yes,repaired_house,wood,#N/A,No,others,#N/A,owned,yes_oral,9,under_standard,lightly_damaged,under_standard,under_standard,under_standard,SRA,0,No,#N/A,2012 or before,2,"<2,500",No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,high,own_toilet,in,flush_toilet,no,6 to 20,handpumped,handpumped,More than 20,yes,11.16870707,124.8858139,Alang Alang,PH083702000,Aslum,PH083702001,106,5,yes,own_toilet,yes
1099,guillermo,2014-10-18T15:41:00.000+08,10/18/14,yes,male,no,22,spouse,living_together,#N/A,Core,High School,male,Yes,2,"2,500 - 5,000","2,500 - 5,000",Equals,Yes,No,#N/A,driver,1,1,Change,yes,No,No,Equal Assets,No,#N/A,#N/A,#N/A,No,rented,#N/A,rented,yes_oral,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,yes_oral,2014,4,"2,500 - 5,000",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,high,own_toilet,out,flush_toilet,yes,0 to 5,handpumped,handpumped,0 to 5,yes,11.23174353,124.8431587,Alang Alang,PH083702000,Hubang,PH083702024,108.6999969,5,yes,own_toilet,yes
1100,soledad,2014-10-18T14:11:00.000+08,10/18/14,yes,male,no,44,head,living_together,#N/A,SRA,High School,male,No,1,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,no,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,rented,#N/A,owned,yes_oral,8,under_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2012 or before,6,"<2,500",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,3,high,shared_toilet,out,flush_toilet,yes,0 to 5,handpumped,handpumped,0 to 5,yes,11.21668005,124.84565,Alang Alang,PH083702000,Hubang,PH083702024,110,5,yes,shared_toilet,yes
1101,ergina,2014-10-18T10:42:00.000+08,10/18/14,yes,male,no,23,head,single,Yes,Neither,Graduate,male,Yes,0,"5,001 - 10,000","<2,500",Less than,No,Yes,#N/A,livestock,1,1,Change,no,No,No,More Assets,Yes,repaired_house,concrete,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,0,to_standard,to_standard,to_standard,to_standard,to_standard,Neither,0,No,#N/A,#N/A,1,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,low,own_toilet,in,flush_toilet,yes,0 to 5,others,others,0 to 5,yes,11.1972994,124.8103529,Alang Alang,PH083702000,Santiago,PH083702043,114.1999969,5,yes,own_toilet,yes
1102,balberia,2014-10-18T13:33:00.000+08,10/18/14,yes,female,yes,65,head,widowed,Yes,SRA,Primary,female,No,3,"<2,500","<2,500",Equals,Yes,No,2,agri_labor,1,1,Change,yes,No,No,Equal Assets,Yes,repaired_house,wood,#N/A,No,owned,yes,owned,#N/A,6,under_standard,significantly_damaged,under_standard,under_standard,no_toilet,SRA,2.0675,Yes,#N/A,2012 or before,1,"<2,500",No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,high,#N/A,#N/A,#N/A,#N/A,0 to 5,well,handpumped,0 to 5,yes,11.16581604,124.8525291,Alang Alang,PH083702000,Penalosa,PH083702033,111,5,without,#N/A,without
1103,besario,2014-10-18T14:15:00.000+08,10/18/14,yes,female,yes,77,head,widowed,Yes,SRA,Elementary,female,No,2,"<2,500","<2,500",Equals,No,No,#N/A,livestock,1,1,No Change,yes,No,No,Less Assets,Yes,new_house,wood,#N/A,No,owned,no,owned,#N/A,4,to_standard,under_standard,to_standard,under_standard,no_toilet,SRA,0.5,No,#N/A,2012 or before,3,"<2,500",No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,4,low,#N/A,#N/A,#N/A,#N/A,6 to 20,handpumped,handpumped,6 to 20,without,11.15943466,124.8691623,Alang Alang,PH083702000,Astorga,PH083702002,109.5999985,5,without,#N/A,without
1104,alburo,2014-10-18T09:04:00.000+08,10/18/14,yes,female,yes,40,head,widowed,Yes,SRA,Elementary,female,No,4,"<2,500","<2,500",Equals,No,No,#N/A,agri_labor,2,2,No Change,yes,No,No,Less Assets,Yes,new_house,wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,no,8,under_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2012 or before,7,"<2,500",No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,4,low,#N/A,#N/A,#N/A,#N/A,More than 20,handpumped,handpumped,More than 20,without,11.2327266,124.842377,Alang Alang,PH083702000,Hubang,PH083702024,102,5,without,#N/A,without
1105,soledad,2014-10-18T15:05:00.000+08,10/18/14,yes,male,no,59,spouse,married,#N/A,Core,High School,male,Yes,4,"5,001 - 10,000","2,500 - 5,000",Less than,Yes,No,13,livestock,1,1,Change,yes,No,No,Less Assets,No,#N/A,#N/A,house_destroyed,No,rented,#N/A,share,yes_oral,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,13,Yes,yes_oral,2014,6,"2,500 - 5,000",No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,3,high,own_toilet,out,flush_toilet,yes,0 to 5,handpumped,handpumped,0 to 5,yes,11.15879692,124.8452467,Alang Alang,PH083702000,Penalosa,PH083702033,107.5,5,yes,own_toilet,yes
1106,besario,2014-10-18T14:38:00.000+08,10/18/14,yes,male,no,37,head,living_together,#N/A,SRA,Elementary,male,No,2,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,yes,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,Owned by family member,#N/A,owned,yes_oral,7,under_standard,lightly_damaged,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2012 or before,5,"<2,500",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,3,low,#N/A,#N/A,#N/A,#N/A,0 to 5,handpumped,handpumped,0 to 5,without,11.20337445,124.8130417,Alang Alang,PH083702000,Santiago,PH083702043,111,5,without,#N/A,without
1107,balberia,2014-10-18T13:45:00.000+08,10/18/14,yes,male,no,20,head,living_together,Yes,SRA,Elementary,male,No,3,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,yes,No,No,Less Assets,Yes,new_house,wood,#N/A,No,others,#N/A,owned,yes_oral,5,under_standard,lightly_damaged,under_standard,significantly_damaged,significantly_damaged,SRA,0,No,#N/A,2014,3,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,high,own_toilet,out,flush_toilet,no,6 to 20,well,well,More than 20,yes,11.16259758,124.8661262,Alang Alang,PH083702000,Astorga,PH083702002,111.4000015,5,yes,own_toilet,yes
1108,alburo,2014-10-18T09:38:00.000+08,10/18/14,yes,male,no,46,spouse,living_together,#N/A,SRA,High School,male,No,2,"2,500 - 5,000","2,500 - 5,000",Equals,Yes,No,0.5,farming,1,1,No Change,yes,Yes,Yes,Equal Assets,Yes,repaired_house,wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,no,6,under_standard,under_standard,under_standard,none,no_toilet,SRA,0,No,#N/A,2012 or before,4,"2,500 - 5,000",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,low,#N/A,#N/A,#N/A,#N/A,6 to 20,handpumped,handpumped,6 to 20,without,11.23356076,124.8411815,Alang Alang,PH083702000,Hubang,PH083702024,101.6999969,5,without,#N/A,without
1109,balberia,2014-10-18T14:46:00.000+08,10/18/14,yes,male,no,59,head,living_together,#N/A,SRA,High School,male,No,2,"<2,500","<2,500",Equals,Yes,No,#N/A,driver,1,1,No Change,no,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,others,#N/A,owned,no,6,under_standard,significantly_damaged,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2013,4,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,low,shared_toilet,out,flush_toilet,yes,0 to 5,handpumped,handpumped,0 to 5,yes,11.16728905,124.8840169,Alang Alang,PH083702000,Aslum,PH083702001,107.3000031,5,yes,shared_toilet,yes
1110,ergina,2014-10-18T13:16:00.000+08,10/18/14,yes,male,no,35,head,married,Yes,SRA,High School,male,Yes,2,"10,001 - 15,000","2,500 - 5,000",Less than,Yes,No,#N/A,govt_employ,2,2,No Change,yes,Yes,Prefer Not to Respond,Less Assets,Yes,new_house,concrete,#N/A,No,Owned by family member,#N/A,owned,yes_oral,2,to_standard,to_standard,to_standard,under_standard,no_toilet,SRA,0,No,#N/A,2013,3,"2,500 - 5,000",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,low,shared_toilet,out,flush_toilet,yes,0 to 5,handpumped,handpumped,0 to 5,yes,11.23435246,124.8401125,Alang Alang,PH083702000,Hubang,PH083702024,118.5999985,5,yes,shared_toilet,yes
1111,alburo,2014-10-18T10:21:00.000+08,10/18/14,yes,male,no,86,head,living_together,Yes,SRA,Primary,male,Yes,2,"<2,500","<2,500",Equals,No,No,0.25,Support from Family,0,1,Change,yes,No,No,Equal Assets,Yes,repaired_house,wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_written,7,under_standard,lightly_damaged,under_standard,under_standard,no_toilet,SRA,0.25,No,#N/A,#N/A,2,"<2,500",No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,3,high,#N/A,#N/A,#N/A,#N/A,6 to 20,handpumped,handpumped,6 to 20,yes,11.16119347,124.8496577,Alang Alang,PH083702000,Penalosa,PH083702033,101.9000015,5,without,#N/A,without
1112,besario,2014-10-18T15:04:00.000+08,10/18/14,yes,male,no,50,head,married,#N/A,Core,High School,male,No,3,"2,500 - 5,000","2,500 - 5,000",Equals,Yes,No,1,agri_labor,2,2,Change,yes,No,No,Less Assets,Yes,new_house,light,#N/A,No,Owned by family member,#N/A,owned,yes_oral,9,under_standard,under_standard,under_standard,under_standard,lightly_damaged,Core,0,No,#N/A,2012 or before,3,"2,500 - 5,000",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,low,own_toilet,out,flush_toilet,yes,0 to 5,well,handpumped,0 to 5,without,11.15432282,124.860827,Alang Alang,PH083702000,Astorga,PH083702002,107.6999969,5,yes,own_toilet,yes
1113,balberia,2014-10-18T15:32:00.000+08,10/18/14,yes,male,no,42,spouse,living_together,#N/A,SRA,High School,male,Yes,4,"2,500 - 5,000","2,500 - 5,000",Equals,Yes,No,0.25,livestock,2,2,No Change,yes,No,No,Less Assets,Yes,new_house,wood,#N/A,No,others,#N/A,owned,yes_oral,3,to_standard,under_standard,to_standard,lightly_damaged,no_toilet,SRA,0,No,#N/A,2013,3,"2,500 - 5,000",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,high,#N/A,#N/A,#N/A,#N/A,0 to 5,well,handpumped,More than 20,yes,11.15500389,124.8593908,Alang Alang,PH083702000,Astorga,PH083702002,110.5999985,5,without,#N/A,without
1114,besario,2014-10-18T15:37:00.000+08,10/18/14,yes,male,no,70,head,married,Yes,Core,High School,male,No,2,"5,001 - 10,000","2,500 - 5,000",Less than,Yes,No,10,farming,2,2,No Change,yes,No,No,Less Assets,Yes,repaired_house,makeshift,#N/A,No,Owned by family member,#N/A,owned,yes_oral,0,significantly_damaged,significantly_damaged,significantly_damaged,significantly_damaged,significantly_damaged,Core,10,Yes,#N/A,#N/A,2,"2,500 - 5,000",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,3,low,#N/A,#N/A,#N/A,#N/A,0 to 5,handpumped,handpumped,0 to 5,without,11.23146009,124.8424884,Alang Alang,PH083702000,Hubang,PH083702024,116.4000015,5,without,#N/A,without
1115,alburo,2014-10-18T10:44:00.000+08,10/18/14,yes,male,no,35,spouse,living_together,Yes,SRA,High School,male,Yes,2,"<2,500","<2,500",Equals,No,No,0.3,farming,1,1,No Change,yes,No,No,Less Assets,Yes,new_house,wood,#N/A,No,owned,no,owned,#N/A,10,under_standard,under_standard,under_standard,under_standard,under_standard,SRA,0.015,No,#N/A,2012 or before,7,"<2,500",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,3,low,own_toilet,out,flush_toilet,yes,More than 20,handpumped,handpumped,More than 20,without,11.16010545,124.8715104,Alang Alang,PH083702000,Astorga,PH083702002,104.0999985,5,yes,own_toilet,yes
1116,alburo,2014-10-18T13:04:00.000+08,10/18/14,yes,male,no,45,head,single,Yes,SRA,Primary,male,No,1,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,yes,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,6,under_standard,under_standard,under_standard,none,no_toilet,SRA,0,No,#N/A,#N/A,1,"<2,500",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,low,shared_toilet,out,flush_toilet,no,More than 20,handpumped,handpumped,0 to 5,without,11.15424808,124.8587126,Alang Alang,PH083702000,Astorga,PH083702002,108.9000015,5,yes,shared_toilet,yes
1117,ergina,2014-10-18T13:59:00.000+08,10/18/14,yes,male,no,32,spouse,living_together,#N/A,SRA,Primary,male,Yes,3,"2,500 - 5,000","<2,500",Less than,Yes,Yes,1,livestock,2,2,No Change,yes,No,No,Less Assets,Yes,new_house,wood,#N/A,No,Neighbor_Friend_OtherNonRelative,#N/A,owned,yes_oral,6,under_standard,under_standard,to_standard,under_standard,no_toilet,SRA,0,No,#N/A,2012 or before,2,"<2,500",No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,2,low,shared_toilet,out,flush_toilet,yes,6 to 20,handpumped,handpumped,6 to 20,yes,11.19766959,124.8102529,Alang Alang,PH083702000,Santiago,PH083702043,116.4000015,5,yes,shared_toilet,yes
